keyword,locale,category,five_element,emotion,meaning_zh,meaning_en,health_tip_zh,health_tip_en
跌落,zh,场景,水,恐惧,"对失控、失败或安全感缺失的担忧，可能代表近期压力过大。","Worry about loss of control, failure, or lack of security, may indicate excessive recent stress.",注意睡眠质量和神经系统调节，适当放松，避免过度用脑和熬夜。,Pay attention to sleep quality and nervous system regulation, relax appropriately, avoid excessive mental work and staying up late.
鱼,zh,动物,水,希望,"与"机遇、财富、潜意识"相关，水中的鱼也象征情绪流动。","Related to 'opportunity, wealth, subconscious', fish in water also symbolizes emotional flow.",注意肾与内分泌平衡，可适度补充优质蛋白和水分。,Pay attention to kidney and endocrine balance, supplement quality protein and water appropriately.
婴儿,zh,人物,水,温情,"新计划、新责任或内心脆弱的一部分。","New plans, new responsibilities, or a vulnerable part of the heart.",注意睡眠与免疫力；如果现实中有新项目，需合理规划精力分配。,Pay attention to sleep and immunity; if there are new projects in reality, plan energy allocation reasonably.
长辈,zh,人物,土,尊重,"象征传统、规则或对健康与家庭的关切。","Symbolizes tradition, rules, or concerns about health and family.",留意家族中老人的健康，同时也关注自己相同系统（如心脑血管）的保养。,Pay attention to elderly family members' health, also care for your own same systems (such as cardiovascular).
同学,zh,人物,木,怀旧,"过去的人际关系模式或当前社交圈的投射。","Projection of past relationship patterns or current social circle.",适当整理通讯录、简化社交负担，给自己更多高质量独处时间。,Organize contacts appropriately, simplify social burden, give yourself more quality alone time.
前任,zh,人物,火,感伤,"旧情绪未完全放下，或在当前关系中有类似课题重复出现。","Old emotions not fully let go, or similar issues repeating in current relationships.",多关注当下身体信号（失眠、食欲变化），避免情绪化饮食。,Pay more attention to current body signals (insomnia, appetite changes), avoid emotional eating.
赤身裸体,zh,身体,火,羞耻,"对自我暴露、隐私或真实自我被看见的担忧。","Worry about self-exposure, privacy, or true self being seen.",可加强自我接纳练习；注意内分泌与皮肤状态变化。,Strengthen self-acceptance practice; pay attention to endocrine and skin condition changes.
堵车,zh,场景,金,烦躁,"现实推进受阻的象征，代表计划或情绪被卡住。","Symbol of blocked progress, representing stuck plans or emotions.",适合调整作息与工作节奏，预留缓冲时间；避免暴饮暴食。,Suitable for adjusting routine and work pace, reserve buffer time; avoid overeating.
房屋漏水,zh,场景,水,担忧,"家庭、情绪或金钱安全感受威胁。","Threat to family, emotional, or financial security.",检查现实中的财务与家庭沟通状况；注意肾与水代谢相关问题。,Check financial and family communication in reality; pay attention to kidney and water metabolism issues.
火灾,zh,场景,火,惊恐,"强烈情绪（愤怒、冲动）或突发变故的象征。","Symbol of strong emotions (anger, impulse) or sudden changes.",注意心血管与血压变化，减少咖啡因与熬夜，适当做缓和运动。,Pay attention to cardiovascular and blood pressure changes, reduce caffeine and staying up late, do moderate exercise.
乘电梯上升,zh,场景,木,期待,"地位、意识或内在层次的提升。","Elevation of status, consciousness, or inner level.",可借势安排学习、晋升相关的实际行动；注意别过度紧张。,Take advantage to arrange learning and promotion actions; avoid excessive tension.
乘电梯下降,zh,场景,水,不安,"回到潜意识或面对被压抑的部分。","Return to subconscious or face suppressed parts.",适合做简单的复盘和写日记，观察自己真正的需求。,Suitable for simple review and journaling, observe your true needs.
牙齿松动,zh,身体,土,犹豫,"对决策、表达与掌控感的担忧。","Worry about decisions, expression, and sense of control.",注意钙和维生素摄入，减少熬夜和高糖饮食。,Pay attention to calcium and vitamin intake, reduce staying up late and high-sugar diet.
被困在小房间,zh,场景,金,压抑,"感到受限、被束缚或缺乏个人空间。","Feeling restricted, bound, or lacking personal space.",安排固定的独处和户外时间，做深呼吸或伸展练习。,Schedule fixed alone and outdoor time, do deep breathing or stretching exercises.
频繁上厕所,zh,身体,水,紧张,"对排除负担、情绪或压力的象征。","Symbol of eliminating burden, emotions, or stress.",观察现实中泌尿或肠道健康，必要时做体检；饮食清淡。,Observe urinary or intestinal health in reality, do physical examination if necessary; light diet.
大雨,zh,场景,水,释放,"情绪宣泄与清洗，可能是哭不出来的眼泪。","Emotional release and cleansing, may be tears that can't be cried.",允许自己适度表达难过，避免长期憋闷；注意关节保暖。,Allow yourself to express sadness appropriately, avoid long-term suppression; pay attention to joint warmth.
晴空,zh,场景,金,轻松,"心境清朗、思路清晰或事情明朗化的象征。","Symbol of clear mind, clear thinking, or things becoming clear.",可以安排规划类工作或重要决定，注意也要适度休息。,Can arrange planning work or important decisions, but also rest appropriately.
反复同一个场景,zh,场景,土,提醒,"某个课题尚未解决，潜意识不断提示你关注。","An unresolved issue, subconscious constantly reminding you to pay attention.",建议记录重复梦境细节，对照现实生活，适度调整节奏与人际边界。,Recommend recording repeated dream details, compare with real life, adjust pace and interpersonal boundaries appropriately.
